Legends:
 - P: time periods since still exists and alive the address # 0: 0-1h, 1: 1h-3h, 2: 3h-12h, 3: 12h-24h, 4: 1d-3d, 5: 3d-1w, 6: 1w-1m,  7: 1-3m, 8:>3m
 - CurV: Current Balance of the address (now)
 - MaxV: Max blance in the last 3 months
 - CHG%: diff between current and max(3m) balance
 - 1h%: balance change in the last hour
 - 3h%: balance change in last three hours
 [...] 
 - 3m%: balance change in last three months
--------------------------------------------------------------------------------------------------------------------
                           address P    CurV    MaxV    CHG%     1h%     3h%    12h%     1d%     1w%     1m%     3m%  
1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT 8   9.26K   9.26K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg 8   9.00K   9.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3HsSR84zReeBt5fTMESWJ2y18pMo5gz2Sq 8   8.49K  13.79K  -38.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE 8   2.67K   4.13K  -35.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
18zuLTKQnLjp987LdxuYvjekYnNAvXif2b 8   8.02K   8.02K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1Kr7C87K8uTD41iFLSSLBBetsu4WCsp89D 8   8.00K   8.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi 8   8.00K   8.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX 8   7.94K   8.25K   -3.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1H2wxWG7tx1KQhbsCCkpythk4M9Gn8iN2S 8   7.91K   7.91K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3P4uzQ9igj22P1H8BYyQRqF81ogQffqPuk 8   7.78K   7.78K   -0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3KzXtsdodEycyfnzsrPAFgiDrXEHQ2bQby 8   7.76K  14.50K  -46.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
35PcCvtG1qp6zDeBcZaUyrRsp8MNq4H3sN 8   5.58K   7.61K  -26.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1PsU7jsbKX75RmRnPj7jx84zy6wepKWkFR 8   7.30K   7.30K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1KhvHeTkLxbTo3z393wHnbnoNtNSdgY1kt 8   7.30K   7.30K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
13Vj9xNqUqTEBtHuELRjdVTktovQm4MAbS 8   7.24K   7.24K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf 8   7.00K   7.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF 8   7.00K   7.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
 1fT7ocQ7FdTZnUAjyyZbPQJr1UmxvFxHf 8   6.94K   6.94K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6 8   6.51K   6.51K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb 8   6.32K   6.32K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs 8   6.20K   6.20K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JdTWTAubsDWXWd7wcsFwMuSapMBh6efrQ 8   6.07K   6.07K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
36Qe5CnoGRx9nakFD1rdPkfvuWzSk9c6Zw 8   6.00K   6.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3MEEA7FKKVxRYBNB3XmXo1BeBDYbeqioUj 8   6.84K   7.40K   -7.57    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1HTzd3sKVmrTNZ6QGisPPA1MvBkoyPiZWJ 8   3.65K   3.65K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1993HoeA1RNTre2QdwUNQVWmojFqSMCrBG 8   5.71K   5.71K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JJLSiwJwvBM77tfXCuWxksCjGKFnsU4oa 8   5.71K   5.71K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
16hL9BVUgjATSHPU72MpD4E38JhqxDuFnn 8   5.60K   5.79K   -3.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
122zHqVVaY21SEjSPeHqVVs9qFDwTV3duS 8   5.45K   5.45K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1BVtDi7txPCG2TH5Crd2Rw5MtpivbmoKgB 8   5.19K   5.19K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC 8   5.08K   5.08K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
35oxA5hR13kWot3D9v3wbfJ59rF5i7LmUK 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
19m6XnWC7cyUwdT4vNcVBa5Mf7t3RvPk9T 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JevQLpYsKAt2STFZWmQ8TTAfjSC8RTGdJ 8   5.00K   5.00K   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
18xGHNrU26w6HSCEL8DD5o1whfiDaYgp6i 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
19z6WynrjHeD5MMv6919BuQRwybuen1sRv 8   5.00K   5.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
